药物名称	药物分类
阿芬太尼	解热镇痛用药
布洛芬	解热镇痛用药
丁丙诺啡	解热镇痛用药
芬太尼	解热镇痛用药
吗啡	解热镇痛用药
哌替啶	解热镇痛用药
喷他佐辛	解热镇痛用药
舒芬太尼	解热镇痛用药
双氯芬酸	解热镇痛用药
丙酸氟替卡松	呼吸系统用药
布地奈德	呼吸系统用药
沙丁胺醇	呼吸系统用药
沙美特罗/氟替卡松	呼吸系统用药
阿米卡星	感染性疾病用药
氨基水杨酸	感染性疾病用药
吡嗪酰胺	感染性疾病用药
达卡他韦	感染性疾病用药
呋喃妥因	感染性疾病用药
呋喃西林	感染性疾病用药
呋喃唑酮	感染性疾病用药
伏立康唑	感染性疾病用药
复方磺胺甲噁唑	感染性疾病用药
干扰素	感染性疾病用药
红霉素	感染性疾病用药
磺胺甲恶唑	感染性疾病用药
磺胺嘧啶	感染性疾病用药
磺胺异噁唑	感染性疾病用药
甲氧苄啶	感染性疾病用药
聚乙二醇干扰素α-2a	感染性疾病用药
卡那霉素	感染性疾病用药
拉米夫定	感染性疾病用药
利巴韦林	感染性疾病用药
利福平	感染性疾病用药
链霉素	感染性疾病用药
磷酸伯氨喹	感染性疾病用药
氯霉素	感染性疾病用药
庆大霉素	感染性疾病用药
索非布韦	感染性疾病用药
特拉普韦	感染性疾病用药
妥布霉素	感染性疾病用药
新霉素	感染性疾病用药
乙胺丁醇	感染性疾病用药
乙胺嘧啶	感染性疾病用药
异烟肼	感染性疾病用药
埃索美拉唑	消化系统用药
奥美拉唑	消化系统用药
兰索拉唑	消化系统用药
雷贝拉唑	消化系统用药
柳氮磺吡啶	消化系统用药
泮托拉唑	消化系统用药
右兰索拉唑	消化系统用药
丙泊酚	麻醉用药
利多卡因	麻醉用药
罗库溴铵	麻醉用药
瑞芬太尼	麻醉用药
环孢素	免疫系统用药
甲氨蝶呤	免疫系统用药
硫唑嘌呤	免疫系统用药
霉酚酸酯	免疫系统用药
巯基嘌呤	免疫系统用药
他克莫司	免疫系统用药
西罗莫司	免疫系统用药
英夫利昔单抗	免疫系统用药
丙戊酸	神经系统用药
金刚烷胺	神经系统用药
拉考沙胺	神经系统用药
氯巴占	神经系统用药
双丙戊酸钠	神经系统用药
托吡酯	神经系统用药
左旋多巴	神经系统用药
奥沙西泮	精神疾病用药
地西泮	精神疾病用药
氟奋乃静	精神疾病用药
劳拉西泮	精神疾病用药
氯丙嗪	精神疾病用药
咪达唑仑	精神疾病用药
阿司匹林	心血管疾病用药
阿替洛尔	心血管疾病用药
氨氯地平	心血管疾病用药
胺碘酮	心血管疾病用药
地高辛	心血管疾病用药
华法林	心血管疾病用药
奎尼丁	心血管疾病用药
氯吡格雷	心血管疾病用药
咪达普利	心血管疾病用药
尼群地平	心血管疾病用药
普鲁卡因胺	心血管疾病用药
索他洛尔	心血管疾病用药
维拉帕米	心血管疾病用药
西洛他唑	心血管疾病用药
硝酸甘油	心血管疾病用药
辛伐他汀	心血管疾病用药
叶酸	心血管疾病用药
二甲双胍	糖尿病用药
格列喹酮	糖尿病用药
格列齐特	糖尿病用药
醋酸泼尼松	激素类用药
甲泼尼龙	激素类用药
泼尼松	激素类用药
曲安奈德	激素类用药
非布司他	痛风用药
依替膦酸	骨质疏松用药
